content,score
"Saya tidak menyangka proses pengajuan pinjamannya bisa semudah ini! Waktu itu saya sedang butuh dana mendesak untuk keperluan keluarga, dan ternyata saya hanya perlu beberapa menit untuk mengisi data. Setelah itu, proses verifikasi berlangsung super cepat, tidak sampai 30 menit, dana sudah masuk ke rekening saya. Pembayarannya juga fleksibel dan mudah!",5
"Fermuk wajah sama KTP sudah jelas sama, cahaya sudah terang sekali buset, sinyal kuat, kenapa masih gagal terus masuk apk DANA??? Sebelumnya saya tidak pernah ada kendala seperti ini, sy dari kemarin kesulitan sekali login aplikasi DANA biasanya gampang. Terus harus gimana? solusinya gimana??? sy dari kemaren complain solusi NIHIL semua percuma kasih solusi tp tetep gak bisa login. sy mau transaksi apa2 di DANA jadi susah! Saldo sy jg ada di DANA. Sekarang malah sulit sekali utk login!",1
aplikasi sangat mengecewakan tiba tiba akun di proteksi tidak bisa buat transaksi.. disaat genting saldo tidak bisa digunakan dan harus menunggu berhari hari..buat yang belum instal jangan pernah instal atau pakek aplikasi ini karena sangat mengecewakan..,5
"bagus sih,tapi kenapa sekarang setiap saya ingin mengisi coin di tiktok melalui pembayaran dana tidak bisa ya? katanya terkena limit bgitu,pdhal jumlah transaksi saya sedikit,dana di aplikasi juga banyak,tapi kenapa waktu melakukan pembayaran ditolak ya?",4
"Aplikasi DANA menurut saya sangat membantu dalam kehidupan sehari-hari, tampilannya bagus dan mudah dipahami, bahkan untuk pengguna baru, proses transaksi seperti transfer, pembayaran tagihan, dan pembelian pulsa listrik, bisa dilakukan dengan cepat tampa ribet☺",5
"kenapa setelah diupdate malah error aplikasinya. padahal jaringan bagus, masuk aplikasi ada tulisan ""koneksi terputus nih"" dan tidak bisa digunakan sama sekali, harus pakai wifi baru bisa digunakan. Tolong diperbaiki lagi aplikasinya jangan sampai pengguna kecewa.",1
"sering terjadi bug dan lambat, sinyal bagus tapi aplikasi nya patah patah saat di gunakan,update rutin tapi tidak ngaruh ke pemeliharaan akun,dan sering error saat mau cek transaksi mau pun saat kirim uang dengan nomor handphone",3
"tolong untuk DANA, layanan lebih di tingkatkan lagi, bila no handphone yg tidak terdaftar, tolak akses kirim/terima transfer, soalnya kan banyak orang yg salah pencet salah satu no handphone, dan laporannya transfernya sukses, padahal no dana yg kadang salah itu sudah tidak terdaftar/ganti no handphone nya. tolong ya DANA...",3
"aplikasi nya dah bagus tapi tolong lah kasih bonus meskipun lewat iklan saldonya, tapi kalau misalnya kita bermain/menonton aplikasi yang bisa di cairkan ke dana tolong lah jangan pakai dana premium biar kami bisa makan karena lapar sekarang cari kerja susah soalnya yang setuju respon komen ku iya👇",4
"Dana salah satu apk ewallet yang saya gunakan, yang memiliki sistem keamanan yang paling bobrok, suda beberapa kali saya mengalami transaksi yang tidak saya kenali, padahal ketika terjadi transaksi ada persetujuan pin, tapi terkadang ketika saya top up melalui dana, dan saya simpan 1 hari sebagian nomimal sudah berpindah/terjadi transaksi yang tidak di kenali, anehnya pihak dana malah melempaekan ke pihak lain, dan tidak memberikan solusi sama sekali",1
"Sangat Buruk. Fitur Dana instan Yang seharusnya ada Bagi Akun yang sudah premium. Ini malah tidak ada, & ketika di hubungi lewat DIANA & EMAIL, malah respon yang diluar dari masalah. GAJELAS. OEE DEVELOPER TOLONG PERBAI KERUSAKAN INI, sangat Tidak nyaman.",1
"Saya kecewa menggunakan DANA. Baru isi saldo, tapi saat mau dipakai untuk pembayaran online malah muncul limit/error terus. Anehnya isi pulsa masih bisa, jadi sistemnya terasa tidak konsisten. Bahkan transaksi kecil seperti 5 ribu pun pernah gagal karena limit. Sangat mengganggu dan bikin ribet saat ingin transaksi cepat. Semoga sistem limit dan deteksi transaksinya diperbaiki supaya tidak terlalu random terhadap pengguna biasa.",1
"Perbaiki lah masalah lemot di aplikasi, buka lemot, mau Scroll pun lemot, udah banyak keluhan, gak papa butuh memori besar asalkan saat buka dan transaksi lemot, sudah berapa kali di tegur pelanggan karna kelamaan transaksinya. perbaiki lagi",3
